region,date,year,month,mean_ndvi,median_ndvi,stress_share,high_health_share,valid_pixels,bbox
California Central Valley,2017-09-01,2017,9,0.38502931594848633,0.3638499975204468,0.3865945780129606,0.15399363472525787,26079,"-122.8,35.0,-118.2,40.4"
California Central Valley,2017-10-01,2017,10,0.3694831132888794,0.3413499891757965,0.4171114780538382,0.13647709381360162,26041,"-122.8,35.0,-118.2,40.4"
California Central Valley,2017-11-01,2017,11,0.3748769462108612,0.3488500118255615,0.4080481816786865,0.14696179223569128,26068,"-122.8,35.0,-118.2,40.4"
California Central Valley,2017-12-01,2017,12,0.37892624735832214,0.35635000467300415,0.4030317056236982,0.1609966828666204,25926,"-122.8,35.0,-118.2,40.4"
California Central Valley,2018-01-01,2018,1,0.40362584590911865,0.4013499915599823,0.34447876447876447,0.19166023166023166,25900,"-122.8,35.0,-118.2,40.4"
California Central Valley,2018-02-01,2018,2,0.41375651955604553,0.42384999990463257,0.3201695241764593,0.21101907146985166,25955,"-122.8,35.0,-118.2,40.4"
California Central Valley,2018-03-01,2018,3,0.4150225818157196,0.44635000824928284,0.34034424205001546,0.23348255634455078,25912,"-122.8,35.0,-118.2,40.4"
California Central Valley,2018-04-01,2018,4,0.4567078948020935,0.5063499808311462,0.2733545236064811,0.3115745406620668,25798,"-122.8,35.0,-118.2,40.4"
California Central Valley,2018-05-01,2018,5,0.445686399936676,0.4688499867916107,0.2678557610461967,0.2521086435038304,25846,"-122.8,35.0,-118.2,40.4"
California Central Valley,2018-06-01,2018,6,0.4027930498123169,0.3938499987125397,0.34111647879763823,0.17816885208189556,26082,"-122.8,35.0,-118.2,40.4"
California Central Valley,2018-07-01,2018,7,0.3942762017250061,0.3713499903678894,0.3764836511218317,0.1817520483957424,26118,"-122.8,35.0,-118.2,40.4"
California Central Valley,2018-08-01,2018,8,0.38260459899902344,0.35635000467300415,0.3968831367743912,0.1640756624291622,26116,"-122.8,35.0,-118.2,40.4"
California Central Valley,2018-09-01,2018,9,0.36874550580978394,0.3488500118255615,0.4130176608052714,0.13611462284028655,26103,"-122.8,35.0,-118.2,40.4"
California Central Valley,2018-10-01,2018,10,0.36625176668167114,0.3413499891757965,0.41591326999693534,0.1331979773214833,26104,"-122.8,35.0,-118.2,40.4"
California Central Valley,2018-11-01,2018,11,0.35709887742996216,0.3338499963283539,0.43188795088257864,0.12379125095932464,26060,"-122.8,35.0,-118.2,40.4"
California Central Valley,2018-12-01,2018,12,0.41229045391082764,0.42384999990463257,0.29498830476628707,0.17163234786609916,26079,"-122.8,35.0,-118.2,40.4"
California Central Valley,2019-01-01,2019,1,0.4078608751296997,0.44635000824928284,0.33632007479839493,0.2018387938758814,25669,"-122.8,35.0,-118.2,40.4"
California Central Valley,2019-02-01,2019,2,0.42333412170410156,0.48385000228881836,0.34676630541100983,0.28909581752024727,25559,"-122.8,35.0,-118.2,40.4"
California Central Valley,2019-03-01,2019,3,0.4309226870536804,0.4988499879837036,0.35116087858736933,0.32355820054030776,25541,"-122.8,35.0,-118.2,40.4"
California Central Valley,2019-04-01,2019,4,0.46786585450172424,0.5213500261306763,0.28655426190568906,0.3766987266850979,25681,"-122.8,35.0,-118.2,40.4"
California Central Valley,2019-05-01,2019,5,0.4429760277271271,0.4613499939441681,0.28015897755610975,0.24170043640897756,25664,"-122.8,35.0,-118.2,40.4"
California Central Valley,2019-06-01,2019,6,0.42704054713249207,0.4313499927520752,0.2976052080911416,0.2116562039835697,25806,"-122.8,35.0,-118.2,40.4"
California Central Valley,2019-07-01,2019,7,0.41186949610710144,0.4013499915599823,0.33349967371693984,0.19550113239414993,26051,"-122.8,35.0,-118.2,40.4"
California Central Valley,2019-08-01,2019,8,0.4023650884628296,0.38635000586509705,0.356934977406755,0.18874932986137705,26114,"-122.8,35.0,-118.2,40.4"
California Central Valley,2019-09-01,2019,9,0.39555487036705017,0.3788500130176544,0.365244019138756,0.1730909090909091,26125,"-122.8,35.0,-118.2,40.4"
California Central Valley,2019-10-01,2019,10,0.3791547417640686,0.35635000467300415,0.3897616675607326,0.1450302705188137,26098,"-122.8,35.0,-118.2,40.4"
California Central Valley,2019-11-01,2019,11,0.3617464303970337,0.3338499963283539,0.4379645949881217,0.1352210897386773,26098,"-122.8,35.0,-118.2,40.4"
California Central Valley,2019-12-01,2019,12,0.42154908180236816,0.42384999990463257,0.27242410303587855,0.176786261882858,26088,"-122.8,35.0,-118.2,40.4"
California Central Valley,2020-01-01,2020,1,0.42157605290412903,0.4613499939441681,0.30891534494124945,0.2000620467677512,25787,"-122.8,35.0,-118.2,40.4"
California Central Valley,2020-02-01,2020,2,0.4384135901927948,0.48385000228881836,0.2986406117247239,0.2639993820962385,25894,"-122.8,35.0,-118.2,40.4"
California Central Valley,2020-03-01,2020,3,0.4444398880004883,0.491349995136261,0.29732025639045484,0.29094910803923085,25898,"-122.8,35.0,-118.2,40.4"
California Central Valley,2020-04-01,2020,4,0.4597817063331604,0.5138499736785889,0.2714340935446463,0.32744491689215305,25870,"-122.8,35.0,-118.2,40.4"
California Central Valley,2020-05-01,2020,5,0.44060927629470825,0.4613499939441681,0.26418952810896323,0.23602268781108926,25917,"-122.8,35.0,-118.2,40.4"
California Central Valley,2020-06-01,2020,6,0.402121901512146,0.3938499987125397,0.35299305901752503,0.18445373317482838,26077,"-122.8,35.0,-118.2,40.4"
California Central Valley,2020-07-01,2020,7,0.39053788781166077,0.3713499903678894,0.3817255772986635,0.1757362233370352,26113,"-122.8,35.0,-118.2,40.4"
California Central Valley,2020-08-01,2020,8,0.3860604763031006,0.3638499975204468,0.39021584940382625,0.16827052102902273,26083,"-122.8,35.0,-118.2,40.4"
